ampl: include run_b.run;
CPLEX 22.1.2: optimal solution; objective 1394
5136 simplex iterations
1747 branching nodes

=== WYNIKI DLA WARIANTU: SINGLE-PATH (Jednosciezkowy) ===
Funkcja celu: 1394

Link   | Obciazenie   | Pojemnosc    | Moduly(y)   
1      | 558.00       | 560          | 56          
2      | 758.00       | 760          | 76          
3      | 540.00       | 540          | 54          
4      | 1000.00      | 1000         | 100         
5      | 344.00       | 350          | 35          
6      | 640.00       | 640          | 64          
7      | 710.00       | 710          | 71          
8      | 610.00       | 610          | 61          
9      | 480.00       | 480          | 48          
10     | 429.00       | 430          | 43          
11     | 998.00       | 1000         | 100         
12     | 510.00       | 510          | 51          
13     | 936.00       | 940          | 94          
14     | 519.00       | 520          | 52          
15     | 920.00       | 920          | 92          
16     | 763.00       | 770          | 77          
17     | 556.00       | 560          | 56          
18     | 599.00       | 600          | 60          
19     | 1079.00      | 1080         | 108         
20     | 366.00       | 370          | 37          
21     | 587.00       | 590          | 59 
