ampl: include run_c.run;
CPLEX 22.1.2: optimal solution; objective 1391
67 simplex iterations

=== WYNIKI DLA WARIANTU: MIP (Ciagle Przeplywy, Calkowite Moduly) ===
Funkcja celu: 1391

Link   | Obciazenie   | Pojemnosc    | Moduly(y)   
1      | 560.00       | 560          | 56          
2      | 810.00       | 810          | 81          
3      | 490.00       | 490          | 49          
4      | 920.00       | 920          | 92          
5      | 208.00       | 210          | 21          
6      | 660.00       | 660          | 66          
7      | 910.00       | 910          | 91          
8      | 590.00       | 590          | 59          
9      | 548.00       | 550          | 55          
10     | 720.00       | 720          | 72          
11     | 1020.00      | 1020         | 102         
12     | 510.00       | 510          | 51          
13     | 1029.00      | 1030         | 103         
14     | 440.00       | 440          | 44          
15     | 1030.00      | 1030         | 103         
16     | 790.00       | 790          | 79          
17     | 670.00       | 670          | 67          
18     | 380.00       | 380          | 38          
19     | 850.00       | 850          | 85          
20     | 430.00       | 430          | 43          
21     | 340.00       | 340          | 34    
