ampl: include run_ip.run
CPLEX 22.1.2: optimal solution; objective 1391
15557 simplex iterations
5851 branching nodes

=== WYNIKI DLA WARIANTU: IP (Calkowite Przeplywy i Moduly) ===
Funkcja celu: 1391

Link   | Obciazenie   | Pojemnosc    | Moduly(y)   
1      | 559.00       | 560          | 56          
2      | 749.00       | 750          | 75          
3      | 408.00       | 410          | 41          
4      | 820.00       | 820          | 82          
5      | 330.00       | 330          | 33          
6      | 750.00       | 750          | 75          
7      | 780.00       | 780          | 78          
8      | 840.00       | 840          | 84          
9      | 460.00       | 460          | 46          
10     | 579.00       | 580          | 58          
11     | 800.00       | 800          | 80          
12     | 430.00       | 430          | 43          
13     | 920.00       | 920          | 92          
14     | 630.00       | 630          | 63          
15     | 1009.00      | 1010         | 101         
16     | 810.00       | 810          | 81          
17     | 690.00       | 690          | 69          
18     | 520.00       | 520          | 52          
19     | 1010.00      | 1010         | 101         
20     | 400.00       | 400          | 40          
21     | 410.00       | 410          | 41        
