ampl: include run_lp.run;
CPLEX 22.1.2: optimal solution; objective 1390.2
0 simplex iterations

=== WYNIKI DLA WARIANTU: LP (Ciagle Przeplywy i Moduly) ===
Funkcja celu: 1390.2

Link   | Obciazenie   | Pojemnosc    | Moduly(y)   
1      | 558.00       | 558.00       | 55.80       
2      | 758.00       | 758.00       | 75.80       
3      | 540.00       | 540.00       | 54.00       
4      | 923.00       | 923.00       | 92.30       
5      | 267.00       | 267.00       | 26.70       
6      | 659.00       | 659.00       | 65.90       
7      | 878.00       | 878.00       | 87.80       
8      | 587.00       | 587.00       | 58.70       
9      | 480.00       | 480.00       | 48.00       
10     | 487.00       | 487.00       | 48.70       
11     | 902.00       | 902.00       | 90.20       
12     | 533.00       | 533.00       | 53.30       
13     | 959.00       | 959.00       | 95.90       
14     | 538.00       | 538.00       | 53.80       
15     | 852.00       | 852.00       | 85.20       
16     | 840.00       | 840.00       | 84.00       
17     | 689.00       | 689.00       | 68.90       
18     | 565.00       | 565.00       | 56.50       
19     | 1056.00      | 1056.00      | 105.60      
20     | 377.00       | 377.00       | 37.70       
21     | 454.00       | 454.00       | 45.40   
